Player,Season,OAA,Fielding_Runs,OAA_Infront,OAA_Behind,UZR,UZR_150,DRS,Arm_runs,Range_runs,Error_runs
Ceddanne Rafaela,2023,2,1,0,0,,,,,,
Jung Hoo Lee,2024,-1,-1,-1,0,0.4,7.1,1.0,,0.0,0.5
Ceddanne Rafaela,2024,5,5,3,-1,6.7,13.2,12.0,3.0,4.4,-0.7
Jung Hoo Lee,2025,-5,-5,-4,1,,,,,,
Ceddanne Rafaela,2025,21,19,4,1,,,,,,
Jung Hoo Lee,2026,-2,-2,0,-1,,,,,,
Ceddanne Rafaela,2026,10,9,2,-1,,,,,,
